object_id,term_taxonomy_id,term_order
1,1,0
6,2,0
60,5,0
60,17,0
60,18,0
60,19,0
60,22,0
65,5,0
65,17,0
65,18,0
65,20,0
65,22,0
70,5,0
70,17,0
70,19,0
70,21,0
70,22,0
73,5,0
73,17,0
73,21,0
73,22,0
73,23,0
76,5,0
76,17,0
76,18,0
76,22,0
76,23,0
76,24,0
81,5,0
81,17,0
81,18,0
81,22,0
81,23,0
81,25,0
86,5,0
86,17,0
86,19,0
86,22,0
86,23,0
86,26,0
89,3,0
89,17,0
89,20,0
89,22,0
89,23,0
89,27,0
91,3,0
91,17,0
91,19,0
91,20,0
91,22,0
91,23,0
91,28,0
93,3,0
93,17,0
93,19,0
93,20,0
93,22,0
93,23,0
93,28,0
95,3,0
95,21,0
95,32,0
95,35,0
95,36,0
95,37,0
97,5,0
97,18,0
97,23,0
97,31,0
97,35,0
97,36,0
102,5,0
102,18,0
102,31,0
102,35,0
102,37,0
107,3,0
107,23,0
107,26,0
107,35,0
107,36,0
107,38,0
109,3,0
109,21,0
109,23,0
109,32,0
109,35,0
109,36,0
111,3,0
111,28,0
111,35,0
111,37,0
111,39,0
111,40,0
113,3,0
115,5,0
115,28,0
115,35,0
115,37,0
115,39,0
115,40,0
118,3,0
118,23,0
118,33,0
118,35,0
118,37,0
120,3,0
120,35,0
120,37,0
120,41,0
120,42,0
124,3,0
124,35,0
124,37,0
124,41,0
124,42,0
126,3,0
126,28,0
126,34,0
126,35,0
126,37,0
126,43,0
128,3,0
128,33,0
128,35,0
128,37,0
130,3,0
130,28,0
130,34,0
130,35,0
130,37,0
144,3,0
144,28,0
144,44,0
144,45,0
144,46,0
144,47,0
144,48,0
144,49,0