action_id,note_id,name,label,query,status,actioned_text,nonce_action,nonce_name
1,1,notify-refund-returns-page,Edit page,http://petpalace.test/wp-admin/post.php?post=13&action=edit,actioned,,,
88,61,connect,Connect,?page=wc-addons&section=helper,unactioned,,,
175,62,wc-payments-notes-set-https-for-checkout,Read more,https://woocommerce.com/document/ssl-and-https/#section-7,unactioned,,,
176,63,visit-the-theme-marketplace,Visit the theme marketplace,https://woocommerce.com/product-category/themes/?utm_source=inbox&utm_medium=product,actioned,,,
262,60,affirm_q2_2024,Power up your payments,https://woocommerce.com/products/woocommerce-gateway-affirm/?utm_source=inbox_note&utm_medium=product&utm_campaign=affirm_q2_2024,actioned,,,
264,65,add-first-product,Add a product,http://petpalace.test/wp-admin/admin.php?page=wc-admin&task=products,actioned,,,
265,66,learn-more,Learn more,https://woocommerce.com/mobile/?utm_medium=product,actioned,,,
358,70,view-payment-gateways,Learn more,https://woocommerce.com/product-category/woocommerce-extensions/payment-gateways/?utm_medium=product,actioned,,,
451,71,learn-more,Learn more,https://woocommerce.com/posts/pre-launch-checklist-the-essentials/?utm_source=inbox&utm_medium=product,actioned,,,
541,58,airwallex_q1_2024,Get started with Airwallex,https://woocommerce.com/products/airwallexpayments/?utm_source=inbox_note&utm_medium=product&utm_campaign=airwallex_q1_2024,actioned,,,
544,72,day-after-first-product,Learn more,https://woocommerce.com/document/woocommerce-customizer/?utm_source=inbox&utm_medium=product,actioned,,,
545,2,wayflyer_bnpl_q4_2021,Level up with funding,https://woocommerce.com/products/wayflyer/?utm_source=inbox_note&utm_medium=product&utm_campaign=wayflyer_bnpl_q4_2021,actioned,,,
546,3,wc_shipping_mobile_app_usps_q4_2021,Get WooCommerce Shipping,https://woocommerce.com/woocommerce-shipping/?utm_source=inbox_note&utm_medium=product&utm_campaign=wc_shipping_mobile_app_usps_q4_2021,actioned,,,
547,4,learn-more,Learn more,https://docs.woocommerce.com/document/woocommerce-shipping-and-tax/?utm_source=inbox,unactioned,,,
548,5,learn-more,Learn more,https://woocommerce.com/posts/ecommerce-shipping-solutions-guide/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more,actioned,,,
549,6,optimizing-the-checkout-flow,Learn more,https://woocommerce.com/posts/optimizing-woocommerce-checkout?utm_source=inbox_note&utm_medium=product&utm_campaign=optimizing-the-checkout-flow,actioned,,,
550,7,qualitative-feedback-from-new-users,Share feedback,https://automattic.survey.fm/wc-pay-new,actioned,,,
551,8,share-feedback,Share feedback,http://automattic.survey.fm/paypal-feedback,unactioned,,,
552,9,get-started,Get started,https://woocommerce.com/products/google-listings-and-ads?utm_source=inbox_note&utm_medium=product&utm_campaign=get-started,actioned,,,
553,10,update-wc-subscriptions-3-0-15,View latest version,http://petpalace.test/wp-admin/&page=wc-addons&section=helper,actioned,,,
554,11,update-wc-core-5-4-0,How to update WooCommerce,https://docs.woocommerce.com/document/how-to-update-woocommerce/,actioned,,,
555,14,ppxo-pps-install-paypal-payments-1,View upgrade guide,https://docs.woocommerce.com/document/woocommerce-paypal-payments/paypal-payments-upgrade-guide/,actioned,,,
556,15,ppxo-pps-install-paypal-payments-2,View upgrade guide,https://docs.woocommerce.com/document/woocommerce-paypal-payments/paypal-payments-upgrade-guide/,actioned,,,
557,16,learn-more,Learn more,https://woocommerce.com/posts/critical-vulnerability-detected-july-2021/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more,unactioned,,,
558,16,dismiss,Dismiss,,actioned,,,
559,17,learn-more,Learn more,https://woocommerce.com/posts/critical-vulnerability-detected-july-2021/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more,unactioned,,,
560,17,dismiss,Dismiss,,actioned,,,
561,18,learn-more,Learn more,https://woocommerce.com/posts/critical-vulnerability-detected-july-2021/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more,unactioned,,,
562,18,dismiss,Dismiss,,actioned,,,
563,19,learn-more,Learn more,https://woocommerce.com/posts/critical-vulnerability-detected-july-2021/?utm_source=inbox_note&utm_medium=product&utm_campaign=learn-more,unactioned,,,
564,19,dismiss,Dismiss,,actioned,,,
565,20,share-feedback,Share feedback,https://automattic.survey.fm/store-management,unactioned,,,
566,21,learn-more,Learn more,https://developer.woocommerce.com/2022/03/10/woocommerce-3-5-10-6-3-1-security-releases/,unactioned,,,
567,21,woocommerce-core-paypal-march-2022-dismiss,Dismiss,,actioned,,,
568,22,learn-more,Learn more,https://developer.woocommerce.com/2022/03/10/woocommerce-3-5-10-6-3-1-security-releases/,unactioned,,,
569,22,dismiss,Dismiss,,actioned,,,
570,23,pinterest_03_2022_update,Update Instructions,https://woocommerce.com/document/pinterest-for-woocommerce/?utm_source=inbox_note&utm_medium=product&utm_campaign=pinterest_03_2022_update#section-3,actioned,,,
571,24,store_setup_survey_survey_q2_2022_share_your_thoughts,Tell us how itâ€™s going,https://automattic.survey.fm/store-setup-survey-2022,actioned,,,
572,25,needs-update-eway-payment-gateway-rin-action-button-2022-12-20,See available updates,http://petpalace.test/wp-admin/update-core.php,unactioned,,,
573,25,needs-update-eway-payment-gateway-rin-dismiss-button-2022-12-20,Dismiss,#,actioned,,,
574,26,updated-eway-payment-gateway-rin-action-button-2022-12-20,See all updates,http://petpalace.test/wp-admin/update-core.php,unactioned,,,
575,26,updated-eway-payment-gateway-rin-dismiss-button-2022-12-20,Dismiss,#,actioned,,,
576,27,share-navigation-survey-feedback,Share feedback,https://automattic.survey.fm/new-ecommerce-plan-navigation,actioned,,,
577,28,woopay-beta-merchantrecruitment-activate-04MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,actioned,,,
578,28,woopay-beta-merchantrecruitment-activate-learnmore-04MAY23,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-activate-learnmore-04MAY23,unactioned,,,
579,29,woocommerce-wcpay-march-2023-update-needed-button,See Blog Post,https://developer.woocommerce.com/2023/03/23/critical-vulnerability-detected-in-woocommerce-payments-what-you-need-to-know,unactioned,,,
580,29,woocommerce-wcpay-march-2023-update-needed-dismiss-button,Dismiss,#,actioned,,,
581,30,tap_to_pay_iphone_q2_2023_no_wcpay,Simplify my payments,https://woocommerce.com/products/woocommerce-payments/?utm_source=inbox_note&utm_medium=product&utm_campaign=tap_to_pay_iphone_q2_2023_no_wcpay,actioned,,,
582,31,extension-settings,See available updates,http://petpalace.test/wp-admin/update-core.php,unactioned,,,
583,31,dismiss,Dismiss,#,actioned,,,
584,32,woopay-beta-merchantrecruitment-update-WCPay-04MAY23,Update WooCommerce Payments,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
585,32,woopay-beta-merchantrecruitment-update-activate-04MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,actioned,,,
586,33,woopay-beta-existingmerchants-noaction-documentation-27APR23,Documentation,https://woocommerce.com/document/woopay-merchant-documentation/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-existingmerchants-noaction-documentation-27APR23,actioned,,,
587,34,woopay-beta-existingmerchants-update-WCPay-27APR23,Update WooCommerce Payments,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,actioned,,,
588,35,woopay-beta-merchantrecruitment-short-activate-04MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,actioned,,,
589,35,woopay-beta-merchantrecruitment-short-activate-learnmore-04MAY23,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-04MAY23,actioned,,,
590,36,woopay-beta-merchantrecruitment-short-update-WCPay-04MAY23,Update WooCommerce Payments,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
591,36,woopay-beta-merchantrecruitment-short-update-activate-04MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,actioned,,,
592,37,woopay-beta-merchantrecruitment-short-activate-06MAY23-TESTA,Activate WooPay Test A,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
593,37,woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTA,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTA,unactioned,,,
594,38,woopay-beta-merchantrecruitment-short-activate-06MAY23-TESTB,Activate WooPay Test B,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
595,38,woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTA,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTA,unactioned,,,
596,39,woopay-beta-merchantrecruitment-short-activate-06MAY23-TESTC,Activate WooPay Test C,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
597,39,woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTC,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTC,unactioned,,,
598,40,woopay-beta-merchantrecruitment-short-activate-06MAY23-TESTD,Activate WooPay Test D,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
599,40,woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTD,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-06MAY23-TESTD,unactioned,,,
600,41,woopay-beta-merchantrecruitment-short-activate-button-09MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
601,41,woopay-beta-merchantrecruitment-short-activate-learnmore-button2-09MAY23,Learn More,https://woocommerce.com/woopay-businesses/?utm_source=inbox_note&utm_medium=product&utm_campaign=woopay-beta-merchantrecruitment-short-activate-learnmore-button2-09MAY23,unactioned,,,
602,42,woopay-beta-merchantrecruitment-short-update-WCPay-09MAY23,Update WooCommerce Payments,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
603,42,woopay-beta-merchantrecruitment-short-update-activate-09MAY23,Activate WooPay,http://petpalace.test/wp-admin/admin.php?page=wc-settings&tab=checkout&section=woocommerce_payments&method=platform_checkout,unactioned,,,
604,67,woocommerce-WCStripe-May-2023-updated-needed-Plugin-Settings,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
605,67,woocommerce-WCStripe-May-2023-updated-needed-Plugin-Settings-dismiss,Dismiss,#,actioned,,,
606,68,woocommerce-WCPayments-June-2023-updated-needed-Plugin-Settings,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
607,68,woocommerce-WCPayments-June-2023-updated-needed-Dismiss,Dismiss,#,actioned,,,
608,43,woocommerce-WCSubscriptions-June-2023-updated-needed-Plugin-Settings,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
609,43,woocommerce-WCSubscriptions-June-2023-updated-needed-dismiss,Dismiss,#,actioned,,,
610,44,woocommerce-WCReturnsWarranty-June-2023-updated-needed,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
611,44,woocommerce-WCReturnsWarranty-June-2023-updated-needed,Dismiss,#,actioned,,,
612,45,woocommerce-WCOPC-June-2023-updated-needed,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,actioned,,,
613,45,woocommerce-WCOPC-June-2023-updated-needed,Dismiss,http://petpalace.test/wp-admin/#,actioned,,,
614,46,woocommerce-WCGC-July-2023-update-needed,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
615,46,woocommerce-WCGC-July-2023-update-needed,Dismiss,#,actioned,,,
616,47,learn-more,Learn more,https://woocommerce.com/document/fedex/?utm_medium=product&utm_source=inbox_note&utm_campaign=learn-more#july-2023-api-outage,unactioned,,,
617,48,plugin-list,See available updates,http://petpalace.test/wp-admin/plugins.php?plugin_status=all,unactioned,,,
618,48,dismiss,Dismiss,http://petpalace.test/wp-admin/admin.php?page=wc-admin,actioned,,,
619,49,woocommerce-WCStripe-Aug-2023-update-needed,See available updates,http://petpalace.test/wp-admin/update-core.php?,unactioned,,,
620,49,dismiss,Dismiss,#,actioned,,,
621,50,dismiss,Dismiss,#,actioned,,,
622,69,woocommerce-WooPayments-Aug-2023-update-needed,See available updates,http://petpalace.test/wp-admin/update-core.php?,unactioned,,,
623,69,dismiss,Dismiss,#,actioned,,,
624,51,dismiss,Dismiss,#,actioned,,,
625,52,avalara_q3-2023_noAvaTax,Automate my sales tax,https://woocommerce.com/products/woocommerce-avatax/?utm_source=inbox_note&utm_medium=product&utm_campaign=avalara_q3-2023_noAvaTax,unactioned,,,
626,53,woo-activation-survey-blockers-survey-button-22AUG23,Take our short survey,https://woocommerce.survey.fm/getting-started-with-woo,unactioned,,,
627,54,woocommerce-usermeta-Sept2023-productvendors,See available updates,http://petpalace.test/wp-admin/plugins.php,unactioned,,,
628,54,dismiss,Dismiss,http://petpalace.test/wp-admin/#,actioned,,,
629,55,woocommerce-STRIPE-Oct-2023-update-needed,See available updates,http://petpalace.test/wp-admin/update-core.php,unactioned,,,
630,55,dismiss,Dismiss,#,actioned,,,
631,56,amazon-mcf-review-button-2023-12-07,Leave a review,https://woocommerce.com/products/woocommerce-amazon-fulfillment/?review&utm_source=inbox_note&utm_medium=product&utm_campaign=amazon-mcf-review-button-2023-12-07,actioned,,,
632,56,amazon-mcf-support-button-2023-12-07,Request support,https://woocommerce.com/my-account/contact-support/?utm_source=inbox_note&utm_medium=product&utm_campaign=amazon-mcf-support-button-2023-12-07,actioned,,,
633,57,view_docs,Learn about Deposit schedules,https://woocommerce.com/document/woopayments/deposits/deposit-schedule/?utm_source=inbox_note&utm_medium=product&utm_campaign=view_docs#available-funds,unactioned,,,
634,59,checkout_survey_new_users_share_feedback,Share feedback,https://automattic.survey.fm/woocommerce-checkout-survey,unactioned,,,
635,64,checkout_survey_new_users_no_orders_share_feedback,Share feedback,https://automattic.survey.fm/woocommerce-checkout-survey,unactioned,,,